foodName,foodImg,previewImg,foodCategoryId,foodArea,foodDesc,isDrink,foodInstruction,foodIngredients,preparationTime,cookingTime,difficulty,comments,likesUsers,timestamp
"Margherita Pizza","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb510lsAzgF1n_o98uVaUQICrAZhQXOFpCeA&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb510lsAzgF1n_o98uVaUQICrAZhQXOFpCeA&s","6624c222ca3cc2175f659809","Italy","Classic pizza with tomatoes, mozzarella, and basil.",false,"1. Preheat oven. 2. Spread sauce on dough. 3. Add cheese and toppings. 4. Bake until crust is golden.","Pizza dough, Tomato sauce, Mozzarella cheese, Fresh basil",20,15,"Easy",[],[],2024-08-24
"Pepperoni Pizza","https://www.simplyrecipes.com/thmb/KE6iMblr3R2Db6oE8HdyVsFSj2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2019__09__easy-pepperoni-pizza-lead-3-1024x682-583b275444104ef189d693a64df625da.jpg","https://www.simplyrecipes.com/thmb/KE6iMblr3R2Db6oE8HdyVsFSj2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2019__09__easy-pepperoni-pizza-lead-3-1024x682-583b275444104ef189d693a64df625da.jpg","6624c222ca3cc2175f659809","Italy","Pizza topped with spicy pepperoni slices and cheese.",false,"1. Preheat oven. 2. Spread sauce on dough. 3. Add cheese and pepperoni. 4. Bake until crisp.","Pizza dough, Tomato sauce, Mozzarella cheese, Pepperoni",20,15,"Easy",[],[],2024-08-24
"Paneer Tikka","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgPLI2SAwE7I-9JxHBe3CV56yGOVY1PWBQ9A&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgPLI2SAwE7I-9JxHBe3CV56yGOVY1PWBQ9A&s","66c89de4a7bd26d66142db5d","India","Marinated paneer cubes grilled to perfection.",false,"1. Marinate paneer. 2. Skewer and grill. 3. Serve with chutney.","Paneer, Yogurt, Spices, Lemon juice",30,20,"Medium",[],[],2024-08-24
"Chicken Tikka Masala","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUcNTu6mSvUxTmg0k8qX70DsuxwrG-FqC29g&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUcNTu6mSvUxTmg0k8qX70DsuxwrG-FqC29g&s","66c89de4a7bd26d66142db5d","India","Grilled chicken in a rich, creamy tomato-based sauce.",false,"1. Marinate chicken. 2. Grill chicken. 3. Prepare sauce. 4. Combine and simmer.","Chicken, Tomato sauce, Cream, Spices",45,30,"Hard",[],[],2024-08-24
"Spaghetti Carbonara","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1001491_11-2e0fa5c.jpg?quality=90&resize=440,400","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1001491_11-2e0fa5c.jpg?quality=90&resize=440,400","66c89de4a7bd26d66142db5d","Italy","Creamy pasta with eggs, cheese, and pancetta.",false,"1. Cook spaghetti. 2. Prepare sauce. 3. Combine and serve.","Spaghetti, Eggs, Parmesan cheese, Pancetta",15,15,"Easy",[],[],2024-08-24
"Kung Pao Chicken","https://www.chilipeppermadness.com/wp-content/uploads/2021/03/Kung-Pao-Chicken-SQ-500x500.jpg","https://www.chilipeppermadness.com/wp-content/uploads/2021/03/Kung-Pao-Chicken-SQ-500x500.jpg","66c89de4a7bd26d66142db5f","China","Stir-fried chicken with peanuts and vegetables in a spicy sauce.",false,"1. Cook chicken. 2. Stir-fry vegetables. 3. Add sauce and peanuts. 4. Serve hot.","Chicken, Peanuts, Bell peppers, Soy sauce",20,15,"Medium",[],[],2024-08-24
"Sweet and Sour Pork","https://cdn.sanity.io/images/2r0kdewr/production/0bc6f529c1200c84a8465d9317c3029898a4d4fa-1500x844.jpg","https://cdn.sanity.io/images/2r0kdewr/production/0bc6f529c1200c84a8465d9317c3029898a4d4fa-1500x844.jpg","66c89de4a7bd26d66142db5f","China","Crispy pork in a tangy, sweet, and sour sauce.",false,"1. Cook pork. 2. Prepare sauce. 3. Combine and stir-fry. 4. Serve with rice.","Pork, Pineapple, Bell peppers, Vinegar",25,20,"Medium",[],[],2024-08-24
"Tacos","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCZZ2CyIz6hiwMuudloMFOPFsmKkmhqO-WJw&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCZZ2CyIz6hiwMuudloMFOPFsmKkmhqO-WJw&s","66c89de4a7bd26d66142db60","Mexico","Soft or crispy tortillas filled with seasoned meat, cheese, and vegetables.",false,"1. Prepare filling. 2. Warm tortillas. 3. Assemble tacos. 4. Serve with toppings.","Tortillas, Ground beef, Cheese, Lettuce",30,10,"Easy",[],[],2024-08-24
"Chicken Enchiladas","https://www.allrecipes.com/thmb/laVb99o9XzDZdX2nMbNXY-vrzak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8694-Chicken-Enchildas-ddmfs-178-4x3-b212961062d64c1bbeae21697a681222.jpg","https://www.allrecipes.com/thmb/laVb99o9XzDZdX2nMbNXY-vrzak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8694-Chicken-Enchildas-ddmfs-178-4x3-b212961062d64c1bbeae21697a681222.jpg","66c89de4a7bd26d66142db60","Mexico","Corn tortillas filled with chicken and cheese, covered in enchilada sauce.",false,"1. Prepare filling. 2. Roll tortillas. 3. Bake with sauce. 4. Serve hot.","Chicken, Tortillas, Cheese, Enchilada sauce",45,30,"Medium",[],[],2024-08-24
"Croissant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoPD4zUoTBei_LVLmT5uIoM4gXcYoz135AGw&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoPD4zUoTBei_LVLmT5uIoM4gXcYoz135AGw&s","66c89de4a7bd26d66142db61","France","Buttery, flaky pastry often enjoyed with coffee or tea.",false,"1. Prepare dough. 2. Roll and fold layers. 3. Shape into croissants. 4. Bake until golden.","Flour, Butter, Yeast, Sugar",120,20,"Hard",[],[],2024-08-24
